model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m3_linear_residual_mlp,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.5,0.5,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMt,nominal_threshold,,1170,585,585,584,579,5,580,6,0.5,0.5,0.9914383561643836,0.9897435897435898,0.9905902480752781,0.008547008547008548,0.010256410256410256,0.9994558775856376,0.5,True,
m3_linear_residual_mlp,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.5,0.5,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.6,0.6,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMt,nominal_threshold,,1170,495,675,467,467,0,675,28,0.6,0.6,1.0,0.9434343434343434,0.9708939708939708,0.0,0.05656565656565657,0.9995180411366974,0.4230769230769231,True,
m3_linear_residual_mlp,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.6,0.6,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.7,0.7,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMt,nominal_threshold,,1170,360,810,354,351,3,807,9,0.7,0.7,0.9915254237288136,0.975,0.9831932773109243,0.003703703703703704,0.025,0.9994124540131318,0.3076923076923077,True,
m3_linear_residual_mlp,compressor_holdout,test,any,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.7,0.7,,1.0,,,0.0,,1.0,False,single_class_all_positive
m3_linear_residual_mlp,compressor_holdout,test,kMc,nominal_threshold,,1170,1170,0,1170,1170,0,0,0,0.8,0.8,,1.0,,,0.0,,1.0,False,single_class_all_positive
